api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,lis_id,middle_name,missed_votes,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,title,total_present,total_votes,twitter_account,url,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000062.json,,,,1892-08-20,,,,,George,,400722,52,A000062,,False,Aiken,,,David,,ocd-division/country:us/state:vt,,R,,,3,19,Sen.,VT,,"Senator, 3rd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/A000161.json,,,,1907-01-02,,,,,Gordon,,400816,142,A000161,,False,Allott,,,Llewellyn,,ocd-division/country:us/state:co,,R,,,2,5,Sen.,CO,,"Senator, 2nd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/A000186.json,,,,1895-10-23,,,,,Clinton,,400841,165,A000186,,False,Anderson,,,Presba,,ocd-division/country:us/state:nm,,D,,,2,11,Sen.,NM,,"Senator, 2nd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000201.json,,,,1904-04-20,,,,,Edward,,401200,486,B000201,,False,Bartlett,,,Lewis,,ocd-division/country:us/state:ak,,D,,,2,1,Sen.,AK,,"Senator, 2nd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000271.json,,,,1894-06-05,,,,,James,,401265,546,B000271,,False,Beall,,,Glenn,,ocd-division/country:us/state:md,,R,,,1,7,Sen.,MD,,"Senator, 1st Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000384.json,,,,1898-11-13,,,,,Wallace,,401375,645,B000384,,False,Bennett,,,Foster,,ocd-division/country:us/state:ut,,R,,,3,9,Sen.,UT,,"Senator, 3rd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000436.json,,,,1909-11-20,,,,,Alan,,401422,688,B000436,,False,Bible,,,Harvey,,ocd-division/country:us/state:nv,,D,,,3,5,Sen.,NV,,"Senator, 3rd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000823.json,,,,1898-09-09,,,,,Henry,,401780,1027,B000823,,False,Bridges,,,Styles,,ocd-division/country:us/state:nh,,R,,,2,23,Sen.,NH,,"Senator, 2nd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B000982.json,,,,1891-07-09,,,,,Clarence,,401934,1167,B000982,,False,Brunsdale,,,Norman,,ocd-division/country:us/state:nd,,R,,,1,1,Sen.,ND,,"Senator, 1st Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B001077.json,,,,1908-06-19,,,,,Quentin,,402023,1252,B001077,,False,Burdick,,S015,Northrup,,ocd-division/country:us/state:nd,,D,,,1,1,Sen.,ND,,"Senator, 1st Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B001167.json,,,,1895-05-15,,,,,Prescott,,402109,1329,B001167,,False,Bush,,,Sheldon,,ocd-division/country:us/state:ct,,R,,,3,7,Sen.,CT,,"Senator, 3rd Class",,,,,,,86
https://api.propublica.org/congress/v1/members/B001180.json,,,,1897-07-21,,,,,John,,402122,1341,B001180,,False,Butler,,,Marshall,,ocd-division/country:us/state:md,,R,,,3,9,Sen.,MD,,"Senator, 3rd Class",,,,,,,86
