api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,ocd_id,office,party,phone,rss_url,seniority,short_title,state,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000014.json,False,,,,1938-06-26,1,,,,,Neil,1501,/m/0255rj,400001,15244,A000014,,False,Abercrombie,,,15,1.26,ocd-division/country:us/state:hi/cd:1,,D,,,10,Rep.,HI,Representative,3,1187,neilabercrombie,,84.81,,hawaiirep1,105
https://api.propublica.org/congress/v1/members/A000022.json,False,,,1002061,1942-11-19,5,,,,,Gary,3605,/m/03rhdq,400003,15080,A000022,,False,Ackerman,,L.,105,8.85,ocd-division/country:us/state:ny/cd:5,,D,,,16,Rep.,NY,Representative,0,1187,repgaryackerman,,91.59,,RepAckerman,105
https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,,RobertAderholt,,,Robert,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,,B.,4,0.34,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,2,Rep.,AL,Representative,0,1187,Robert_Aderholt,https://aderholt.house.gov/,91.12,441,RobertAderholt,105
https://api.propublica.org/congress/v1/members/A000357.json,False,,,,1945-04-16,1,,,,,Thomas,2301,,400007,29728,A000357,,False,Allen,,H.,17,1.43,ocd-division/country:us/state:me/cd:1,,D,,,2,Rep.,ME,Representative,0,1187,,,90.17,,,105
https://api.propublica.org/congress/v1/members/A000210.json,False,,,19670,1957-08-04,1,,,,,Robert,3401,,400008,29132,A000210,,False,Andrews,,E.,95,8.0,ocd-division/country:us/state:nj/cd:1,,D,,,10,Rep.,NJ,Representative,1,1187,RepAndrews,http://andrews.house.gov/,84.43,,,105
https://api.propublica.org/congress/v1/members/A000215.json,False,,,,1928-03-22,7,,,,,Bill,4807,,400567,13002,A000215,,False,Archer,,,54,4.55,ocd-division/country:us/state:tx/cd:7,,R,,,28,Rep.,TX,Representative,0,1187,,,93.56,,,105
https://api.propublica.org/congress/v1/members/A000217.json,False,,,,1940-07-07,26,,,,,Richard,4826,,400551,15200,A000217,,False,Armey,,K.,35,2.95,ocd-division/country:us/state:tx/cd:26,,R,,,14,Rep.,TX,Representative,0,1187,,,91.84,,,105
https://api.propublica.org/congress/v1/members/B000013.json,False,,,26397,1947-12-28,6,,SpencerBachus,,,Spencer,0106,/m/024p0v,400010,29301,B000013,,False,Bachus,,,11,0.93,ocd-division/country:us/state:al/cd:6,,R,,,6,Rep.,AL,Representative,0,1187,BachusAL06,http://bachus.house.gov,90.22,,congressmanbachus,105
https://api.propublica.org/congress/v1/members/B000028.json,False,,,,1941-07-09,6,,,,,Scotty,2106,,401033,29353,B000028,,False,Baesler,,,38,3.2,ocd-division/country:us/state:ky/cd:6,,D,,,6,Rep.,KY,Representative,0,1187,,,77.28,,,105
https://api.propublica.org/congress/v1/members/B000072.json,False,,,,1948-05-22,6,,,,,Richard,2206,,400012,15400,B000072,,False,Baker,,Hugh,65,5.48,ocd-division/country:us/state:la/cd:6,,R,,,12,Rep.,LA,Representative,0,1187,,,94.12,,,105
