api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,lis_id,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000069.json,,,8704,1924-09-11,,,,,Daniel,/m/01rbrq,300001,14400,A000069,,False,Akaka,,S213,K.,36,5.33,2006,ocd-division/country:us/state:hi,,D,,,1,13,Sen.,HI,,"Senator, 1st Class",0,675,SenatorAkaka,,92.96,,senatorakaka,108
https://api.propublica.org/congress/v1/members/A000360.json,,N00009888,5,1940-07-03,,senatorlamaralexander,,,Lamar,/m/01rbs3,300002,40304,A000360,,False,Alexander,,S289,,13,1.93,2008,ocd-division/country:us/state:tn,,R,,https://www.alexander.senate.gov/public/?a=RSS.Feed,2,1,Sen.,TN,,"Senator, 2nd Class",0,675,SenAlexander,https://www.alexander.senate.gov/public/,95.92,15691,lamaralexander,108
https://api.propublica.org/congress/v1/members/A000109.json,,,,1943-12-02,,,,,Wayne,,300003,15801,A000109,,False,Allard,,S250,A.,3,0.44,2008,ocd-division/country:us/state:co,,R,,,2,7,Sen.,CO,,"Senator, 2nd Class",0,675,,,94.64,,,108
https://api.propublica.org/congress/v1/members/A000121.json,,,,1952-03-08,,,,,George,,300004,15847,A000121,,False,Allen,,S274,Felix,2,0.3,2006,ocd-division/country:us/state:va,,R,,,1,3,Sen.,VA,,"Senator, 1st Class",1,675,,,95.39,,,108
https://api.propublica.org/congress/v1/members/B000243.json,,,1727,1941-12-11,,,,,Max,/m/01rcm2,300005,14203,B000243,,False,Baucus,,S127,,17,2.52,2008,ocd-division/country:us/state:mt,,D,,,2,25,Sen.,MT,,"Senator, 2nd Class",0,675,,http://www.baucus.senate.gov,81.31,,SenatorBaucus,108
https://api.propublica.org/congress/v1/members/B001233.json,,,,1955-12-26,,,,,Evan,/m/01rcnr,300006,49901,B001233,,False,Bayh,,S264,,8,1.19,2004,ocd-division/country:us/state:in,,D,,,3,5,Sen.,IN,,"Senator, 3rd Class",0,675,,,85.61,,SenEvanBayh,108
https://api.propublica.org/congress/v1/members/B000382.json,,,25708,1933-09-18,,,,,Robert,/m/01xtg9,300007,49307,B000382,,False,Bennett,,S231,F.,17,2.52,2004,ocd-division/country:us/state:ut,,R,,,3,11,Sen.,UT,,"Senator, 3rd Class",0,675,,,96.2,,SenatorBennett,108
https://api.propublica.org/congress/v1/members/B000444.json,,,34,1942-11-20,,,,,Joseph,,300008,14101,B000444,,False,Biden Jr.,,S010,R.,52,7.7,2008,ocd-division/country:us/state:de,,D,,,2,31,Sen.,DE,,"Senator, 2nd Class",0,675,,,91.17,,,108
https://api.propublica.org/congress/v1/members/B000468.json,,,590,1943-10-03,,,,,Jeff,/m/01xck2,300009,15101,B000468,,False,Bingaman,,S167,,10,1.48,2006,ocd-division/country:us/state:nm,,D,,,1,21,Sen.,NM,,"Senator, 1st Class",0,675,jeffbingaman,,91.13,,SenJeffBingaman,108
https://api.propublica.org/congress/v1/members/B000611.json,,,2360,1939-03-06,,,,,Christopher,/m/01_6h2,300010,15500,B000611,,False,Bond,,S200,S.,10,1.48,2004,ocd-division/country:us/state:mo,,R,,,3,17,Sen.,MO,,"Senator, 3rd Class",0,675,,,96.09,,CSBondMO,108
