api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000374.json,False,,N00036633,76236,1954-09-16,5,0.493,CongressmanRalphAbraham,202-225-5639,H4LA05221,Ralph,2205,/m/012dwd7_,412630,21522,A000374,,True,Abraham,,,2.0,0.32,2018,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,R,202-225-8490,https://abraham.house.gov/rss.xml,4,Rep.,LA,Representative,0.0,625.0,RepAbraham,https://abraham.house.gov/,96.47,155414,,115
https://api.propublica.org/congress/v1/members/A000370.json,False,,N00035451,76386,1946-05-27,12,-0.462,CongresswomanAdams,202-225-1512,H4NC12100,Alma,3712,/m/02b45d,412607,21545,A000370,,True,Adams,,,1.0,0.16,2018,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,D,202-225-1510,https://adams.house.gov/rss.xml,6,Rep.,NC,Representative,0.0,625.0,RepAdams,https://adams.house.gov/,96.63,5935,,115
https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,0.36,RobertAderholt,202-225-5587,H6AL04098,Robert,0104,/m/024p03,400004,29701,A000055,,True,Aderholt,,B.,28.0,4.48,2018,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,R,202-225-4876,https://aderholt.house.gov/rss.xml,22,Rep.,AL,Representative,0.0,625.0,Robert_Aderholt,https://aderholt.house.gov/,95.64,441,RobertAderholt,115
https://api.propublica.org/congress/v1/members/A000371.json,False,,N00033997,79994,1979-06-19,31,-0.273,reppeteaguilar,202-226-6962,H2CA31125,Pete,0631,/m/0jwv0xf,412615,21506,A000371,,True,Aguilar,,,7.0,1.12,2018,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,D,202-225-3201,https://aguilar.house.gov/rss.xml,4,Rep.,CA,Representative,0.0,625.0,reppeteaguilar,https://aguilar.house.gov/,93.69,70114,,115
https://api.propublica.org/congress/v1/members/A000372.json,False,,N00033720,62545,1951-11-07,12,0.614,CongressmanRickAllen,202-225-3377,H2GA12121,Rick,1312,/m/0127y9dk,412625,21516,A000372,,True,Allen,,,3.0,0.48,2018,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,R,202-225-2823,,4,Rep.,GA,Representative,0.0,625.0,reprickallen,https://allen.house.gov/,98.07,136062,,115
https://api.propublica.org/congress/v1/members/A000367.json,False,,N00031938,1033767,1980-04-18,3,0.684,repjustinamash,202-225-5144,H0MI03126,Justin,2603,/m/0c00p_n,412438,21143,A000367,,True,Amash,,,1.0,0.16,2018,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,R,202-225-3831,https://amash.house.gov/rss.xml,8,Rep.,MI,Representative,0.0,625.0,,https://amash.house.gov/,75.8,105566,repjustinamash,115
https://api.propublica.org/congress/v1/members/A000369.json,False,,N00031177,62817,1958-06-12,2,0.388,MarkAmodeiNV2,202-225-5679,H2NV02395,Mark,3202,/m/03bzdkn,412500,21196,A000369,,True,Amodei,,,16.0,2.56,2018,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,R,202-225-6155,https://amodei.house.gov/rss/news-releases.xml,8,Rep.,NV,Representative,1.0,625.0,MarkAmodeiNV2,https://amodei.house.gov/,94.91,12537,markamodeinv2,115
https://api.propublica.org/congress/v1/members/A000375.json,False,,N00038285,1016482,1972-03-09,19,,JodeyArrington,,H6TX19099,Jodey,4819,/m/0g9_f_1,412726,,A000375,,True,Arrington,,,3.0,0.48,2018,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,https://arrington.house.gov/rss.xml,2,Rep.,TX,Representative,0.0,625.0,RepArrington,https://arrington.house.gov/,98.23,155685,,115
https://api.propublica.org/congress/v1/members/B001291.json,False,,N00005736,44883,1948-03-23,36,0.716,RepBrianBabin,202-226-0396,H6TX02079,Brian,4836,/m/010qgj35,412655,21551,B001291,,True,Babin,,,10.0,1.6,2018,ocd-division/country:us/state:tx/cd:36,316 Cannon House Office Building,R,202-225-1555,,4,Rep.,TX,Representative,0.0,625.0,RepBrianBabin,https://babin.house.gov/,95.45,360,,115
https://api.propublica.org/congress/v1/members/B001298.json,False,,N00037049,103442,1963-08-16,2,,,,H6NE02125,Don,3102,/m/01311t71,412713,,B001298,,True,Bacon,,,0.0,0.0,2018,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,R,202-225-4155,https://bacon.house.gov/rss.xml,2,Rep.,NE,Representative,0.0,625.0,,https://bacon.house.gov/,95.52,166299,,115
