api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,ocd_id,office,party,phone,rss_url,seniority,short_title,state,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000014.json,False,,,,1938-06-26,1,,,,,Neil,1501,/m/0255rj,400001,15244,A000014,,False,Abercrombie,,,40,3.29,ocd-division/country:us/state:hi/cd:1,,D,,,18,Rep.,HI,Representative,4,1214,neilabercrombie,,89.18,,hawaiirep1,109
https://api.propublica.org/congress/v1/members/A000022.json,False,,,1002061,1942-11-19,5,,,,,Gary,3605,/m/03rhdq,400003,15080,A000022,,False,Ackerman,,L.,48,3.95,ocd-division/country:us/state:ny/cd:5,,D,,,24,Rep.,NY,Representative,1,1214,repgaryackerman,,93.14,,RepAckerman,109
https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,,RobertAderholt,,,Robert,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,,B.,2,0.16,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,10,Rep.,AL,Representative,0,1214,Robert_Aderholt,https://aderholt.house.gov/,94.55,441,RobertAderholt,109
https://api.propublica.org/congress/v1/members/A000358.json,False,,,87412,1947-07-05,2,,,,,Todd,2902,/m/025xzm,400005,20123,A000358,,False,Akin,,,15,1.24,ocd-division/country:us/state:mo/cd:2,,R,,,6,Rep.,MO,Representative,2,1214,reptoddakin,,91.74,,RepToddAkin,109
https://api.propublica.org/congress/v1/members/A000361.json,False,,,1004256,1946-12-05,5,,RepRodneyAlexander,,,Rodney,2205,/m/025jxc,400006,90327,A000361,,False,Alexander,,,15,1.24,ocd-division/country:us/state:la/cd:5,,R,,,4,Rep.,LA,Representative,0,1214,USRepAlexander,,96.08,,RepRodneyMAlexander,109
https://api.propublica.org/congress/v1/members/A000357.json,False,,,,1945-04-16,1,,,,,Thomas,2301,,400007,29728,A000357,,False,Allen,,H.,12,0.99,ocd-division/country:us/state:me/cd:1,,D,,,10,Rep.,ME,Representative,1,1214,,,94.59,,,109
https://api.propublica.org/congress/v1/members/A000210.json,False,,,19670,1957-08-04,1,,,,,Robert,3401,,400008,29132,A000210,,False,Andrews,,E.,104,8.57,ocd-division/country:us/state:nj/cd:1,,D,,,18,Rep.,NJ,Representative,1,1214,RepAndrews,http://andrews.house.gov/,92.7,,,109
https://api.propublica.org/congress/v1/members/B001234.json,False,,,81682,1947-01-23,43,,,,,Joe,0643,/m/024xk0,400009,29942,B001234,,False,Baca,,,52,4.28,ocd-division/country:us/state:ca/cd:43,,D,,,8,Rep.,CA,Representative,0,1214,,,92.94,,,109
https://api.propublica.org/congress/v1/members/B000013.json,False,,,26397,1947-12-28,6,,SpencerBachus,,,Spencer,0106,/m/024p0v,400010,29301,B000013,,False,Bachus,,,56,4.61,ocd-division/country:us/state:al/cd:6,,R,,,14,Rep.,AL,Representative,0,1214,BachusAL06,http://bachus.house.gov,94.65,,congressmanbachus,109
https://api.propublica.org/congress/v1/members/B001229.json,False,,,45981,1956-03-07,3,,,,,Brian,5303,/m/02593n,400011,29938,B001229,,False,Baird,,,63,5.19,ocd-division/country:us/state:wa/cd:3,,D,,,8,Rep.,WA,Representative,3,1214,,,90.36,,,109
