api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,lis_id,middle_name,missed_votes,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,title,total_present,total_votes,twitter_account,url,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000031.json,,,,1927-01-13,,,,,Brockman,,400692,10700,A000031,,False,Adams,,S180,,,ocd-division/country:us/state:wa,,D,,,3,1,Sen.,WA,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/A000219.json,,,,1937-03-16,,,,,William,,400927,14002,A000219,,False,Armstrong,,S134,Lester,,ocd-division/country:us/state:co,,R,,,2,9,Sen.,CO,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B000243.json,,,1727,1941-12-11,,,,,Max,/m/01rcm2,300005,14203,B000243,,False,Baucus,,S127,,,ocd-division/country:us/state:mt,,D,,,2,9,Sen.,MT,,"Senator, 2nd Class",,,,http://www.baucus.senate.gov,,SenatorBaucus,100
https://api.propublica.org/congress/v1/members/B000401.json,,,,1921-02-11,,,,,Lloyd,,401391,660,B000401,,False,Bentsen,,S009,Millard,,ocd-division/country:us/state:tx,,D,,,1,17,Sen.,TX,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B000444.json,,,34,1942-11-20,,,,,Joseph,,300008,14101,B000444,,False,Biden Jr.,,S010,R.,,ocd-division/country:us/state:de,,D,,,2,15,Sen.,DE,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B000468.json,,,590,1943-10-03,,,,,Jeff,/m/01xck2,300009,15101,B000468,,False,Bingaman,,S167,,,ocd-division/country:us/state:mt,,D,,,1,5,Sen.,MT,,"Senator, 1st Class",,,jeffbingaman,,,SenJeffBingaman,100
https://api.propublica.org/congress/v1/members/B000611.json,,,2360,1939-03-06,,,,,Christopher,/m/01_6h2,300010,15500,B000611,,False,Bond,,S200,S.,,ocd-division/country:us/state:mo,,R,,,3,1,Sen.,MO,,"Senator, 3rd Class",,,,,,CSBondMO,100
https://api.propublica.org/congress/v1/members/B000639.json,,,,1941-04-21,,,,,David,,401604,14700,B000639,,False,Boren,,S128,Lyle,,ocd-division/country:us/state:ok,,D,,,2,9,Sen.,OK,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B000647.json,,,,1930-11-07,,,,,Rudolph,,401611,14701,B000647,,False,Boschwitz,,S135,Eli,,ocd-division/country:us/state:mn,,R,,,2,9,Sen.,MN,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B001225.json,,,,1943-07-28,,,,,William,,401709,14702,B001225,,False,Bradley,,S132,Warren,,ocd-division/country:us/state:nj,,D,,,2,9,Sen.,NJ,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B000780.json,,,,1944-03-01,,,,,John,,300012,13056,B000780,,False,Breaux,,S179,B.,,ocd-division/country:us/state:la,,D,,,3,1,Sen.,LA,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B001057.json,,,,1925-08-12,,,,,Dale,,402004,14300,B001057,,False,Bumpers,,S014,,,ocd-division/country:us/state:ar,,D,,,3,13,Sen.,AR,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B001077.json,,,,1908-06-19,,,,,Quentin,,402023,1252,B001077,,False,Burdick,,S015,Northrup,,ocd-division/country:us/state:nd,,D,,,1,27,Sen.,ND,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/B001210.json,,,,1917-11-20,,,,,Robert,/m/06bss,300016,1366,B001210,,False,Byrd,,S017,C.,,ocd-division/country:us/state:wv,,D,,,1,29,Sen.,WV,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/C000269.json,,,,1922-10-22,,,,,John,,402412,14500,C000269,,False,Chafee,,S116,H.,,ocd-division/country:us/state:ri,,R,,,1,11,Sen.,RI,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/C000356.json,,,,1930-04-03,,,,,Lawton,,402495,13101,C000356,,False,Chiles,,,Mainor,,ocd-division/country:us/state:fl,,D,,,1,17,Sen.,FL,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/C000567.json,,N00003328,1200,1937-12-07,,,,,Thad,/m/01fmcd,300023,14009,C000567,,False,Cochran,,S136,,,ocd-division/country:us/state:ms,,R,,https://www.cochran.senate.gov/public/index.cfm/rss/taggedfeed?Type=news-releases&region=&issue=,2,9,Sen.,MS,,"Senator, 2nd Class",,,SenThadCochran,https://www.cochran.senate.gov/,53312,sencochran,100
https://api.propublica.org/congress/v1/members/C000598.json,,,,1940-08-28,,,,,William,,402727,14010,C000598,,False,Cohen,,S137,Sebastian,,ocd-division/country:us/state:me,,R,,,2,9,Sen.,ME,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/C000705.json,,,2517,1948-03-12,,,,,Kent,/m/021fx2,300026,15501,C000705,,False,Conrad,,S201,,,ocd-division/country:us/state:nd,,D,,,3,1,Sen.,ND,,"Senator, 3rd Class",,,,,,SenatorConrad,100
https://api.propublica.org/congress/v1/members/C000877.json,,,,1914-06-19,,,,,Alan,,402990,12103,C000877,,False,Cranston,,S023,,,ocd-division/country:us/state:ca,,D,,,3,19,Sen.,CA,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000018.json,,,,1937-08-01,,,,,Alfonse,,403142,14900,D000018,,False,D'Amato,,S147,M.,,ocd-division/country:us/state:ny,,R,,,3,7,Sen.,NY,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000030.json,,,103,1936-09-05,,,,,John,,403171,14501,D000030,,False,Danforth,,S108,Claggett,,ocd-division/country:us/state:mo,,R,,,1,11,Sen.,MO,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000064.json,,,,1947-12-09,,,,,Thomas,,300031,14617,D000064,,False,Daschle,,S185,A.,,ocd-division/country:us/state:sd,,D,,,3,1,Sen.,SD,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000185.json,,,,1937-05-08,,,,,Dennis,,403346,14502,D000185,,False,DeConcini,,S102,Webster,,ocd-division/country:us/state:az,,D,,,1,11,Sen.,AZ,,"Senator, 1st Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000366.json,,,,1927-07-07,,,,,Alan,,403483,14902,D000366,,False,Dixon,,S149,John,,ocd-division/country:us/state:il,,D,,,3,7,Sen.,IL,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000388.json,,,,1944-05-27,,,,,Christopher,/m/01xcly,300034,14213,D000388,,False,Dodd,,S150,J.,,ocd-division/country:us/state:ct,,D,,,3,7,Sen.,CT,,"Senator, 3rd Class",,,SenChrisDodd,,,SenChrisDodd,100
https://api.propublica.org/congress/v1/members/D000401.json,,,,1923-07-22,,,,,Robert,,403515,10513,D000401,,False,Dole,,S026,Joseph,,ocd-division/country:us/state:ks,,R,,,3,19,Sen.,KS,,"Senator, 3rd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000407.json,,,,1932-05-07,,,,,Pete,,300036,14103,D000407,,False,Domenici,,S027,V.,,ocd-division/country:us/state:nm,,R,,,2,15,Sen.,NM,,"Senator, 2nd Class",,,,,,,100
https://api.propublica.org/congress/v1/members/D000566.json,,,,1934-08-19,,,,,David,,403669,14703,D000566,,False,Durenberger,,S133,Ferdinand,,ocd-division/country:us/state:mn,,R,,,1,9,Sen.,MN,,"Senator, 1st Class",,,,,,,100
