api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000374.json,False,,N00036633,76236,1954-09-16,5,,CongressmanRalphAbraham,,H4LA05221,Ralph,2205,/m/012dwd7_,412630,21522,A000374,,False,Abraham,,,2.0,0.15,2016,ocd-division/country:us/state:la/cd:5,,R,,https://abraham.house.gov/rss.xml,2,Rep.,LA,Representative,0.0,1325.0,RepAbraham,https://abraham.house.gov/,96.52,155414,,114
https://api.propublica.org/congress/v1/members/A000370.json,False,,N00035451,76386,1946-05-27,12,,CongresswomanAdams,,H4NC12100,Alma,3712,/m/02b45d,412607,21545,A000370,,False,Adams,,,101.0,7.62,2016,ocd-division/country:us/state:nc/cd:12,,D,,https://adams.house.gov/rss.xml,4,Rep.,NC,Representative,0.0,1325.0,RepAdams,https://adams.house.gov/,97.3,5935,,114
https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,,RobertAderholt,,H6AL04098,Robert,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,,B.,22.0,1.66,2016,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,20,Rep.,AL,Representative,0.0,1325.0,Robert_Aderholt,https://aderholt.house.gov/,94.4,441,RobertAderholt,114
https://api.propublica.org/congress/v1/members/A000371.json,False,,N00033997,79994,1979-06-19,31,,reppeteaguilar,,H2CA31125,Pete,0631,/m/0jwv0xf,412615,21506,A000371,,False,Aguilar,,,47.0,3.55,2016,ocd-division/country:us/state:ca/cd:31,,D,,https://aguilar.house.gov/rss.xml,2,Rep.,CA,Representative,0.0,1325.0,reppeteaguilar,https://aguilar.house.gov/,90.45,70114,,114
https://api.propublica.org/congress/v1/members/A000372.json,False,,N00033720,62545,1951-11-07,12,,CongressmanRickAllen,,H2GA12121,Rick,1312,/m/0127y9dk,412625,21516,A000372,,False,Allen,,,16.0,1.21,2016,ocd-division/country:us/state:ga/cd:12,,R,,,2,Rep.,GA,Representative,0.0,1325.0,reprickallen,https://allen.house.gov/,96.87,136062,,114
https://api.propublica.org/congress/v1/members/A000367.json,False,,N00031938,1033767,1980-04-18,3,,repjustinamash,,H0MI03126,Justin,2603,/m/0c00p_n,412438,21143,A000367,,False,Amash,,,0.0,0.0,2016,ocd-division/country:us/state:mi/cd:3,,R,,https://amash.house.gov/rss.xml,6,Rep.,MI,Representative,3.0,1325.0,,https://amash.house.gov/,75.09,105566,repjustinamash,114
https://api.propublica.org/congress/v1/members/A000369.json,False,,N00031177,62817,1958-06-12,2,,MarkAmodeiNV2,,S0NV00237,Mark,3202,/m/03bzdkn,412500,21196,A000369,,False,Amodei,,,83.0,6.26,2016,ocd-division/country:us/state:nv/cd:2,,R,,https://amodei.house.gov/rss/news-releases.xml,6,Rep.,NV,Representative,1.0,1325.0,MarkAmodeiNV2,https://amodei.house.gov/,94.2,12537,markamodeinv2,114
https://api.propublica.org/congress/v1/members/A000373.json,False,,,76302,1949-11-10,2,,RepBradAshford,,H4NE02054,Brad,3102,/m/02pys5v,412642,21533,A000373,,False,Ashford,,,14.0,1.06,2016,ocd-division/country:us/state:ne/cd:2,,D,,https://ashford.house.gov/rss.xml,2,Rep.,NE,Representative,0.0,1325.0,RepBradAshford,https://ashford.house.gov,77.73,,,114
https://api.propublica.org/congress/v1/members/B001291.json,False,,N00005736,44883,1948-03-23,36,,RepBrianBabin,,H6TX02079,Brian,4836,/m/010qgj35,412655,21551,B001291,,False,Babin,,,27.0,2.04,2016,ocd-division/country:us/state:tx/cd:36,,R,,,2,Rep.,TX,Representative,1.0,1325.0,RepBrianBabin,https://babin.house.gov/,94.92,360,,114
https://api.propublica.org/congress/v1/members/B001269.json,False,,N00025495,29618,1956-01-28,11,,CongressmanLouBarletta,,H2PA11098,Lou,4211,/m/03wcvjl,412469,21171,B001269,,False,Barletta,,,85.0,6.42,2016,ocd-division/country:us/state:pa/cd:11,,R,,https://barletta.house.gov/rss.xml,6,Rep.,PA,Representative,0.0,1325.0,RepLouBarletta,https://barletta.house.gov/,93.06,47143,reploubarletta,114
