api_uri,begin_date,district,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/M000797.json,2001-01-03,2,2002-02-28,Patsy,M000797,Mink,T.,Died 2/28/2002,D,HI,Left Congress,107
https://api.propublica.org/congress/v1/members/S000463.json,2001-01-03,2,2003-01-03,Joe,S000463,Skeen,,Did not seek reelection,R,NM,Retiring,107
https://api.propublica.org/congress/v1/members/C000670.json,2001-01-03,18,2003-01-03,Gary,C000670,Condit,,Defeated for renomination,D,CA,Defeated in primary election,107
https://api.propublica.org/congress/v1/members/A000217.json,2001-01-03,26,2003-01-03,Richard,A000217,Armey,K.,Did not seek reelection,R,TX,Retiring,107
https://api.propublica.org/congress/v1/members/H000621.json,2001-01-03,7,2003-01-03,Earl,H000621,Hilliard,F.,Defeated for renomination,D,AL,Defeated in primary election,107
https://api.propublica.org/congress/v1/members/T000350.json,2001-01-03,17,2002-07-24,James,T000350,Traficant Jr.,A.,"Expelled, 7/24/2002",D,OH,Left Congress,107
https://api.propublica.org/congress/v1/members/G000547.json,2001-01-03,1,2003-01-03,Felix,G000547,Grucci Jr.,J.,Defeated for reelection,R,NY,Defeated in general election,107
https://api.propublica.org/congress/v1/members/C000052.json,2001-01-03,1,2003-01-03,Sonny,C000052,Callahan,,Did not seek reelection,R,AL,Retiring,107
https://api.propublica.org/congress/v1/members/M000212.json,2001-01-03,20,2003-01-03,Frank,M000212,Mascara,,Defeated for renomination,D,PA,Defeated in primary election,107
https://api.propublica.org/congress/v1/members/R000465.json,2001-01-03,5,2003-01-03,Marge,R000465,Roukema,,Did not seek reelection,R,NJ,Retiring,107
https://api.propublica.org/congress/v1/members/H000789.json,2001-01-03,38,2003-01-03,Stephen,H000789,Horn,,Did not seek reelection,R,CA,Retiring,107
https://api.propublica.org/congress/v1/members/M000834.json,2001-01-03,9,2001-05-28,Joe,M000834,Moakley,,Died 5/28/2001,D,MA,Left Congress,107
https://api.propublica.org/congress/v1/members/S000718.json,2001-01-03,2,2001-08-16,Floyd,S000718,Spence,,Died 8/16/2001,R,SC,Left Congress,107
https://api.propublica.org/congress/v1/members/C000846.json,2001-01-03,14,2003-01-03,William,C000846,Coyne,J.,Did not seek reelection,D,PA,Retiring,107
https://api.propublica.org/congress/v1/members/B000081.json,2001-01-03,2,2003-01-03,John,B000081,Baldacci,,Did not seek reelection,D,ME,Retiring,107
https://api.propublica.org/congress/v1/members/S000094.json,2001-01-03,14,2003-01-03,Tom,S000094,Sawyer,,Defeated for renomination,D,OH,Defeated in primary election,107
